program_name,address,address_comments,notes,web_address,populations_served,gender,latitude,longitude,phone_number
Bethlehem Childrenâ€™s Clothes Closet,"5415 SE Powell Blvd. Portland, Or","St. Marks, enter through back parking lot","noon - 2pm, 4th Saturday of every month",www.smpdx.org,newborns,Newborns,,,(503) 777 1443
Francis Center,"6535 SE 82nd Ave. Portland, OR",,10am - 1pm Monday through Thursday,,"Bring proof of address for this boundary area. Clatsop to Powell, 39th - 136th, Powell to Glisan, 60th - 82nd.",Any,,,(503) 775 6784
Julia West House,"522 SW 13th Ave., Portland, OR",,9am - 5pm Monday through Friday,www.juliawest.org,Referral only,Men,,,(503) 619 4009
Mainspring,"1335 AW Hawthorne Blvd. Portland, Or",,9:30am - 1:30pm Monday through Wednesday (suggest calling first),www.mainspringpdx.org,,Any,,,(503) 233-5533
Rose Haven,"627 NW 18th Ave. Portland, OR",,8:30am - 12pm Monday through Friday,www.rosehaven.org,,"Women, Newborns",,,(503) 248 6364
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,